,num_points,num_queries,num_experiments,serial_time,parallel_time
0,2,1048576,1,116.82,38.2034
1,4,1048576,1,187.271,50.221
2,8,1048576,1,267.577,65.2181
3,16,1048576,1,411.709,91.5104
4,32,1048576,1,542.419,109.185
5,64,1048576,1,648.408,133.521
6,128,1048576,1,773.966,153.58
7,256,1048576,1,890.057,175.033
8,512,1048576,1,988.302,188.536
9,1024,1048576,1,1106.47,223.709
10,2048,1048576,1,1192.7,245.009
11,4096,1048576,1,1277.48,400.049
12,8192,1048576,1,1379.47,247.473
13,16384,1048576,1,1461.65,361.789
14,32768,1048576,1,1587.99,289.157
15,65536,1048576,1,1723.78,353.257
16,131072,1048576,1,1884.22,349.836
17,262144,1048576,1,2016.66,339.408
18,524288,1048576,1,2216.32,457.935
19,1048576,1048576,1,2416.35,412.784
